source_id,survey_date,survey_control,point_id,asset_id,station_m,station_label,offset_m,point_type,elevation_m,invert_elevation_m,running_slope_pct,cross_slope_pct,quality_code,survey_note
SV-095,2026-05-16,SC-2026-REV-B,GUT-L-095,road-left-gutter,1175,1+175.0,-4.2,gutter-shot,102.478,,,,A,Continuous level loop closure 0.007 m.
SV-096,2026-05-16,SC-2026-REV-B,CL-096,road-crown,1175,1+175.0,0.0,crown-shot,102.533,,,,A,Crown shot used for crossfall check only.
SV-097,2026-05-16,SC-2026-REV-B,GUT-L-097,road-left-gutter,1200,1+200.0,-4.2,gutter-shot,102.492,,,,A,Continuous level loop closure 0.007 m.
SV-098,2026-05-16,SC-2026-REV-B,CL-098,road-crown,1200,1+200.0,0.0,crown-shot,102.547,,,,A,Crown shot used for crossfall check only.
SV-099,2026-05-16,SC-2026-REV-B,GUT-L-099,road-left-gutter,1225,1+225.0,-4.2,gutter-shot,102.504,,,,A,Continuous level loop closure 0.007 m.
SV-100,2026-05-16,SC-2026-REV-B,CL-100,road-crown,1225,1+225.0,0.0,crown-shot,102.559,,,,A,Crown shot used for crossfall check only.
SV-101,2026-05-16,SC-2026-REV-B,GUT-L-101,road-left-gutter,1250,1+250.0,-4.2,gutter-shot,102.513,,,,A,Continuous level loop closure 0.007 m.
SV-102,2026-05-16,SC-2026-REV-B,CL-102,road-crown,1250,1+250.0,0.0,crown-shot,102.568,,,,A,Crown shot used for crossfall check only.
SV-103,2026-05-16,SC-2026-REV-B,GUT-L-103,road-left-gutter,1275,1+275.0,-4.2,gutter-shot,102.515,,,,A,Continuous level loop closure 0.007 m.
SV-104,2026-05-16,SC-2026-REV-B,CL-104,road-crown,1275,1+275.0,0.0,crown-shot,102.57,,,,A,Crown shot used for crossfall check only.
SV-105,2026-05-16,SC-2026-REV-B,GUT-L-105,road-left-gutter,1300,1+300.0,-4.2,gutter-shot,102.507,,,,A,Continuous level loop closure 0.007 m.
SV-106,2026-05-16,SC-2026-REV-B,CL-106,road-crown,1300,1+300.0,0.0,crown-shot,102.562,,,,A,Crown shot used for crossfall check only.
SV-107,2026-05-16,SC-2026-REV-B,GUT-L-107,road-left-gutter,1325,1+325.0,-4.2,gutter-shot,102.488,,,,A,Continuous level loop closure 0.007 m.
SV-108,2026-05-16,SC-2026-REV-B,CL-108,road-crown,1325,1+325.0,0.0,crown-shot,102.543,,,,A,Crown shot used for crossfall check only.
SV-109,2026-05-16,SC-2026-REV-B,GUT-L-109,road-left-gutter,1350,1+350.0,-4.2,gutter-shot,102.457,,,,A,Continuous level loop closure 0.007 m.
SV-110,2026-05-16,SC-2026-REV-B,CL-110,road-crown,1350,1+350.0,0.0,crown-shot,102.512,,,,A,Crown shot used for crossfall check only.
SV-111,2026-05-16,SC-2026-REV-B,GUT-L-111,road-left-gutter,1375,1+375.0,-4.2,gutter-shot,102.414,,,,A,Continuous level loop closure 0.007 m.
SV-112,2026-05-16,SC-2026-REV-B,CL-112,road-crown,1375,1+375.0,0.0,crown-shot,102.469,,,,A,Crown shot used for crossfall check only.
SV-113,2026-05-16,SC-2026-REV-B,GUT-L-113,road-left-gutter,1400,1+400.0,-4.2,gutter-shot,102.359,,,,A,Continuous level loop closure 0.007 m.
SV-114,2026-05-16,SC-2026-REV-B,CL-114,road-crown,1400,1+400.0,0.0,crown-shot,102.414,,,,A,Crown shot used for crossfall check only.
SV-115,2026-05-16,SC-2026-REV-B,CB14-RIM,CB-14,735.4,-5.8,rim,103.028,,,A,Signed field book page 7. Legacy map rounded station to 0+730.
SV-116,2026-05-16,SC-2026-REV-B,CB14-INVOUT,CB-14,735.4,-5.8,invert-out,102.998,101.832,,,A,450 mm outlet toward MH-17; level rod reading checked twice.
SV-117,2026-05-16,SC-2026-REV-B,CB14-GUTTER-LOW,SAG-0735,735.0,-0.6,gutter-low,103.018,,,A,Lowest gutter shot on southbound lane; used for ponding depth.
SV-118,2026-05-16,SC-2026-REV-B,CB15-RIM,CB-15,760.2,5.6,rim,103.042,,,A,Alias CB-15A in 2025 drawings.
SV-119,2026-05-16,SC-2026-REV-B,CB15-INVOUT,CB-15,760.2,5.6,invert-out,103.042,101.904,,,A,Outlet to MH-17 branch.
SV-120,2026-05-16,SC-2026-REV-B,MH17-RIM,MH-17,821.6,0.0,rim,103.192,,,A,Rim elevation from closed level loop.
SV-121,2026-05-16,SC-2026-REV-B,MH17-INV-CB14,MH-17,821.6,0.0,invert-in,103.192,101.548,,,A,Incoming 450 mm pipe from CB-14.
SV-122,2026-05-16,SC-2026-REV-B,MH17-INV-DWN,MH-17,821.6,0.0,invert-out,103.192,101.532,,,A,Outlet to downstream trunk; conflicts with GIS invert 101.420.
SV-123,2026-05-16,SC-2026-REV-B,MH18-INV-IN,MH-18,879.3,0.0,invert-in,103.084,101.409,,,B,Downstream trunk invert; CCTV confirms 600 mm RCP.
SV-124,2026-05-16,SC-2026-REV-B,MH17-CTR,MH-17,821.6,0.0,center,103.192,,,A,Use with CB14-CTR for plan length.
SV-125,2026-05-16,SC-2026-REV-B,CB14-CTR,CB-14,735.4,-5.8,center,103.028,,,A,Plan length to MH-17 centerline = 86.2 m by stationing.
SV-126,2026-05-16,SC-2026-REV-B,NE-PINE-BOT,RAMP-NE-PINE,512.8,-7.4,ramp-bottom,104.002,,4.8,2.7,A,Cross slope exceeds 2 percent on bottom panel.
SV-127,2026-05-16,SC-2026-REV-B,NE-PINE-MID,RAMP-NE-PINE,512.9,-7.2,ramp-mid,104.048,,5.1,2.6,A,Measured across panel width after ponding complaint.
SV-128,2026-05-16,SC-2026-REV-B,NE-PINE-LAND,RAMP-NE-PINE,513.0,-7.0,landing,104.087,,1.6,2.4,A,Landing cross slope exceeds 2 percent.
SV-129,2026-05-16,SC-2026-REV-B,SW-PINE-BOT,RAMP-SW-PINE,514.2,6.8,ramp-bottom,103.928,,8.9,1.5,A,Running slope exceeds 8.33 percent.
SV-130,2026-05-16,SC-2026-REV-B,SW-PINE-MID,RAMP-SW-PINE,514.3,6.9,ramp-mid,104.016,,9.1,1.7,A,Running slope exceeds 8.33 percent.
SV-131,2026-05-16,SC-2026-REV-B,SW-PINE-LAND,RAMP-SW-PINE,514.5,7.0,landing,104.092,,1.8,1.8,A,Landing within cross-slope criterion.
SV-132,2026-05-17,SC-2026-REV-B,GAS-MARK-820A,GAS-150-0820,819.7,2.1,paint-mark,103.118,,,B,Horizontal paint mark only; no depth from survey.
SV-133,2026-05-17,SC-2026-REV-B,GAS-MARK-820B,GAS-150-0820,821.4,2.2,paint-mark,103.122,,,B,Gas owner did not authorize depth interpolation from old pothole.
SV-134,2026-05-17,SC-2026-REV-B,BUS-GUT-818,BUS-STOP-SB-0820,818.2,-4.7,gutter-shot,103.084,,,A,Local gutter depression at bus stop.
SV-135,2026-05-17,SC-2026-REV-B,BUS-GUT-824,BUS-STOP-SB-0820,824.0,-4.8,gutter-shot,103.089,,,A,Not same low point as station 0+735.
